,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2764R,0,0,0.0031055828114315,0,0,0,0,0,0.117341366653605,0,0.0825201594700096,0,0.00157004020588908,0,0,0,0,0,0,0,0,0.718032274677588,0,0.0774305761814769
BA2209R,0,0,0.466052812764397,0,0,0.00223403972846232,0,0,0.0456167575595482,0,0.0479399481354112,0,0,2.66397001165878e-05,0,0,0.00151893494006252,0,0,0,0,0.329348601532236,0.0442990203387576,0.0629632453010088
BA2989R,0.00214401601209469,0,0.24921213728713,0,0,0,0,0.00108584917707155,0.151149614452328,0,0.00851369063615456,0,0.000842277624203176,0,0,0,0,0,0,0.000163926127277525,0,0.455129411119084,0,0.131759077564657
BA2855R,0.00260644707208541,0,0,0,0,0,0,0,0.0312848030843143,0,0.00484297787067679,0,0.00154543078455654,0,0,0,0,0,0,0,0,0.891482274678943,0,0.0682380665094235
BA2261R,0.0063576100054209,0,0,0,0,0,0,0,0.102521647881913,0,0,0,0,0,0,0,0.000189256640937993,0,0,0,0,0.739872420292662,0,0.151059065179066
BA2721R,0,0,0.00157845836007767,0,0,0,0,0,0.065508292741452,0,0.000261061403144383,0,0,0,0,0,0,0,0,0,0,0.781716895140027,0,0.150935292355299
BA2930R,0,0,0.00192629020439377,0,0,0,0,0,0.0406237504790859,0,0.0207659161720875,0,0,0,0,0,0,0,0,0,0,0.84228662994815,0,0.0943974131962824
BA2728R,0.000897846855307774,0,0,0,0,0,0,0,0.128373576324493,0,0.0110862948814658,0,0,0,0,0,0,0,0,0.00221428227907196,0,0.780710623325208,0,0.0767173763344532
BA2715R,0.101897039874455,0,0.00168923130669758,0,0,0,0,0,0.156093373636983,0,0.00390467858819271,0,0,0,0,0,0,0,0,0,0,0.601990351206684,0,0.134425325386987
BA2469R,0.0265519549703751,0,0.0787413898308729,0,0,0,0,0,0.140254141866362,0,0.00176799418725929,0,0,0,0,0,0,0,0,0.070839394060655,0,0.597164355795849,0,0.0846807692886272
BA2269R,0,0,0,0,0,0,0,0,0.00135281872083286,0,0,0,0,0,0,0,0,0,0,0,0,0.887638895780134,0,0.111008285499033
BA2098R,0.000573511622281971,0,0,0,0,0,0,0,0.077262807525125,0,0.0051398377618075,0,0,0,0,0,0.0883568488870032,0,0,0,0,0.731530969541823,0,0.0971360246619598
BA2778R,0,0,0,0,0,0,0,0,0.00116353525206455,0,0.00130712298064166,0,0,0,0,0,0,0,0,0,0,0.959686323491845,0,0.0378430182754491
BA2951R,0,0,0.278801928654272,0,0,0,0,0.00201331774431335,0.371324751237783,0,0,0,0,0,0,0,0,0,0,0.00069072783792537,0,0.266635461130944,0,0.0805338133947621
BA2163R,0.0564950324656387,0,0.0110846130460448,0,0,0,0,0,0.254907730065503,0,0,0,0.000585000358663514,0,0,0,0,0,0,0,0,0.385051250574853,0,0.291876373489297
BA2379R,0,0,0,0,0,0,0,0,0.00400435252803126,0,0.013172905906866,0,0,0,0,0,0,0,0,0,0,0.895941176905245,0,0.0868815646598574
BA2817R,0.00220808623451338,0,0.212606422775299,0,0,0,0,0.000474116411109362,0.0722264935904715,0,0.116814851531349,0,0.000242816957519178,0,0,0,0.000627993330046753,0,0,0,0,0.469757695181262,0,0.125041523988431
BA3153R,0,0,0.216348441108764,0,0,0,0.00208969798297304,0.00215816698167286,0.12686050826104,0,0.382978157660409,0,0,0,0,0,0,0,0,0,0,0.208422743644232,0,0.0611422843609098
BA2820R,0,0,0.00322618601829002,0,0,0,0,0,0.0981825884427701,0,0,0,0.000362507349529127,0,0,0,0,0,0,0,0,0.817582046579476,0,0.0806466716099344
BA2723R,0.0463963849746074,0,0.0738621773034585,0,0,0,0,0,0.12262584415795,0,0.0202004621835859,0,0,0,0,0,0,0,0,0,0,0.427808327232482,0,0.309106804147917
BA2704R,0.304079970981922,0,0,0,0,0,0,0,0.375585167498985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320334861519093
