"","Clinical_parameter","Factor","Estimate","StdError","tStat","pvalue","padjust"
"49","Factor5","blast_blood_abs",0.014705290721871,0.00329816294708327,4.45863074620847,2.76680315062013e-05,2.76680315062013e-05
"50","Factor6","blast_blood_abs",-0.00173177812305925,0.00111222286910301,-1.55704236189272,0.123561310278544,0.123561310278544
"51","Factor7","blast_blood_abs",0.00862586272000755,0.0026189529965446,3.29363021458895,0.00149575306529826,0.00149575306529826
"52","Factor8","blast_blood_abs",0.000757825403232568,0.00266879321523787,0.283958082216955,0.777204673670202,0.777204673670202
"53","Factor9","blast_blood_abs",-0.00117665454908507,0.00338254324461501,-0.347860903466141,0.728893808994091,0.728893808994091
"54","Factor10","blast_blood_abs",0.00171642258278378,0.00316898985219626,0.541630823334515,0.589636696441998,0.589636696441998
"55","Factor11","blast_blood_abs",0.00351525480944677,0.00294008069037526,1.1956320862058,0.235509338596985,0.235509338596985
"56","Factor1","Hb",0.00098274347173931,0.00719560537651997,0.136575509677908,0.891709451018363,0.891709451018363
"57","Factor2","Hb",0.0145249289109094,0.00721645115715561,2.01275233415901,0.0475049629525655,0.0475049629525655
"58","Factor3","Hb",-0.00281755808440504,0.00704304896922956,-0.4000480611046,0.690187319444735,0.690187319444735
"59","Factor4","Hb",-0.00296132260903184,0.00517322484474017,-0.572432611747533,0.568634181500644,0.568634181500644
"60","Factor5","Hb",0.00636904312216792,0.00600538571027882,1.06055521317584,0.29208350290835,0.29208350290835
"61","Factor6","Hb",0.000216297316574007,0.00189327149755737,0.114245271664981,0.909329605105349,0.909329605105349
"62","Factor7","Hb",0.00287457484935044,0.00492676466680421,0.58346096145385,0.561224386754535,0.561224386754535
"63","Factor8","Hb",0.00385627148400994,0.00447526362835158,0.861685881381331,0.391435893239284,0.391435893239284
"64","Factor9","Hb",0.00250992922831902,0.00552710517144397,0.454112804164951,0.650977293645818,0.650977293645818
"65","Factor10","Hb",-0.00876446709043768,0.00513170489007954,-1.70790551642611,0.091531831069054,0.091531831069054
"66","Factor11","Hb",0.00224785214382699,0.00489389789060366,0.459317336420708,0.647251976124345,0.647251976124345
"67","Factor1","Platelets",0.000205950022290963,0.00165613174843835,0.124356061940823,0.90134923975578,0.90134923975578
"68","Factor2","Platelets",0.00607614514808791,0.00154164812222754,3.9413307488796,0.000173955871053438,0.000173955871053438
"69","Factor3","Platelets",-0.000651363027403173,0.00162459424812813,-0.400938897914774,0.689547465456017,0.689547465456017
"70","Factor4","Platelets",-0.000655804595846325,0.00118528917951739,-0.553286579493913,0.581629653331917,0.581629653331917
"71","Factor5","Platelets",-0.00133366203511571,0.00138655695537127,-0.961851606563545,0.339059021178393,0.339059021178393
"72","Factor6","Platelets",-0.000589514563225777,0.00042485306602647,-1.38757281132355,0.169168829184084,0.169168829184084
"73","Factor7","Platelets",-0.000533045021014299,0.0011311726915577,-0.471232222093569,0.638773650054454,0.638773650054454
"74","Factor8","Platelets",-0.00233378465343795,0.00100221322523646,-2.32863086883265,0.0224364395911669,0.0224364395911669
"75","Factor9","Platelets",0.000302057216215571,0.00126583885428428,0.238622171529375,0.812016477052915,0.812016477052915
"76","Factor10","Platelets",0.00264817166869249,0.00115809864748508,2.28665465972457,0.0248938668743069,0.0248938668743069
"77","Factor11","Platelets",0.00197427710239348,0.00110088812267063,1.79334944372377,0.0767440559433958,0.0767440559433958
"78","Factor1","WBC",0.00911234655459962,0.00277738023304744,3.28091431132612,0.00153428436900628,0.00153428436900628
"79","Factor2","WBC",0.00362351230463094,0.00301364195371361,1.20236987680829,0.232767055933654,0.232767055933654
"80","Factor3","WBC",0.00459398048912928,0.00285230058113548,1.61062284932833,0.111200847838747,0.111200847838747
"81","Factor4","WBC",0.00738182551340441,0.00196467011663728,3.75728497669579,0.000324877237595744,0.000324877237595744
"82","Factor5","WBC",0.00980568186797516,0.00223122206717164,4.39475837580126,3.37345838852337e-05,3.37345838852337e-05
"83","Factor6","WBC",-0.000832020298249144,0.000772777709205126,-1.07666187616223,0.284867461627375,0.284867461627375
"84","Factor7","WBC",0.00383836704830247,0.0019837290608377,1.93492504802122,0.0565338073224597,0.0565338073224597
"85","Factor8","WBC",-0.000808858262379456,0.00184601143384506,-0.438165358864914,0.662447294211127,0.662447294211127
"86","Factor9","WBC",-0.000967280694883886,0.0022724570077873,-0.425654123078761,0.671502832425128,0.671502832425128
"87","Factor10","WBC",0.00208885880574665,0.00213493894236518,0.978416180573541,0.330818065837189,0.330818065837189
"88","Factor11","WBC",0.00291676817956227,0.00198788158766373,1.4672746091432,0.146221827908011,0.146221827908011
"89","Factor1","Neutrophils",0.0303422177778298,0.0211119340897193,1.43720692045005,0.154710490527879,0.154710490527879
"90","Factor2","Neutrophils",0.0247966108181955,0.0216143377293563,1.1472297291125,0.254838872389526,0.254838872389526
"91","Factor3","Neutrophils",0.00563858483241927,0.0204782556838193,0.275344976617054,0.78378874863675,0.78378874863675
"92","Factor4","Neutrophils",0.0201676797411603,0.0152291222479231,1.32428379080815,0.189326296299797,0.189326296299797
"93","Factor5","Neutrophils",-0.00150433843388043,0.0180788112151291,-0.0832100305700155,0.933900479548314,0.933900479548314
"94","Factor6","Neutrophils",-0.000611399887659134,0.00554789434872897,-0.110203952928413,0.912534354779147,0.912534354779147
"95","Factor7","Neutrophils",-0.0362063792152795,0.013290173056772,-2.72429704719537,0.0079706966709319,0.0079706966709319
"96","Factor8","Neutrophils",-0.0273327722755285,0.0126697836535473,-2.15731957410938,0.034099713421484,0.034099713421484
"97","Factor9","Neutrophils",0.000297460327008626,0.0164232775547723,0.0181121171469327,0.985596261776976,0.985596261776976
"98","Factor10","Neutrophils",0.0113892559232425,0.0154461481342128,0.737352498777068,0.463149022386369,0.463149022386369
"99","Factor11","Neutrophils",0.00928583993927486,0.014510669113854,0.63993189193524,0.524116450267299,0.524116450267299
"100","Factor1","LDH",0.00495208072984857,0.00491480239109282,1.00758491100747,0.317075386043815,0.317075386043815
"101","Factor2","LDH",0.00165829752092671,0.00497278714359786,0.333474462718893,0.739759003681442,0.739759003681442
"102","Factor3","LDH",0.00843701042680711,0.00447396183099799,1.88580295172636,0.0634125020493426,0.0634125020493426
"103","Factor4","LDH",0.00365228032773658,0.0034494287415855,1.05880729864211,0.293276498871744,0.293276498871744
"104","Factor5","LDH",0.00578804706259949,0.00397968994552587,1.45439648360211,0.150243095899718,0.150243095899718
"105","Factor6","LDH",0.000304294104336789,0.00131195939886341,0.231938659535049,0.817252864276403,0.817252864276403
"106","Factor7","LDH",-0.00110664964291327,0.00312408616770103,-0.354231472343684,0.724215302449843,0.724215302449843
"107","Factor8","LDH",-0.00391061192547345,0.00287942499432946,-1.35812251861908,0.178725005657734,0.178725005657734
"108","Factor9","LDH",-0.00515130139565855,0.00359106975338543,-1.43447544866045,0.155826713971725,0.155826713971725
"109","Factor10","LDH",0.00030643531684276,0.00362310622884512,0.0845780657500727,0.932834871797746,0.932834871797746
"110","Factor11","LDH",-0.00688917366040327,0.00314271080615259,-2.19211186944599,0.0316515211827431,0.0316515211827431
"111","Factor1","chemo_radio",0.741282086930674,0.714037504107018,1.03815567483073,0.319664600447009,0.319664600447009
"112","Factor2","chemo_radio",0.156223360725251,0.640803681318865,0.243792857749696,0.81150932748001,0.81150932748001
"113","Factor3","chemo_radio",1.05162772959454,0.528372904673338,1.9903135083066,0.0698309592612935,0.0698309592612935
"114","Factor4","chemo_radio",0.443741941086187,0.591484009983417,0.750217983236145,0.467578648753973,0.467578648753973
"115","Factor5","chemo_radio",1.34107004465785,0.723276098581684,1.85416059964879,0.0884459367913297,0.0884459367913297
"116","Factor6","chemo_radio",0.0617624866423198,0.145585454381398,0.424235284388489,0.678900359536926,0.678900359536926
"117","Factor7","chemo_radio",-0.979130362277926,0.372736061541178,-2.62687317730795,0.0221028407906167,0.0221028407906167
"118","Factor8","chemo_radio",0.21738995536999,0.364304918612893,0.596725282210605,0.561780121205084,0.561780121205084
"119","Factor9","chemo_radio",-0.83938448181611,0.38126871628924,-2.20155613601231,0.048002589216941,0.048002589216941
"120","Factor10","chemo_radio",1.47004808322593,0.357070776235656,4.11696554594471,0.00142837686827215,0.00142837686827215
"121","Factor11","chemo_radio",-0.0794556413067024,0.544055630841497,-0.146043229409844,0.886311884726761,0.886311884726761
"122","Factor1","aml_etiology",-0.846706868212813,0.387610391044307,-2.18442768247673,0.0309601919253348,0.0309601919253348
"123","Factor2","aml_etiology",0.112012358869325,0.371743596958803,0.301316175411458,0.763717559239676,0.763717559239676
"124","Factor3","aml_etiology",-0.387121619920895,0.334363517236596,-1.15778666022037,0.249350053769528,0.249350053769528
"125","Factor4","aml_etiology",-0.133283349740094,0.253605548538064,-0.52555376058773,0.600210197145406,0.600210197145406
"126","Factor5","aml_etiology",-1.0639984193418,0.287058505631687,-3.70655597541143,0.000324715973716797,0.000324715973716797
"127","Factor6","aml_etiology",0.138639830897911,0.373113894076549,0.371575095698438,0.710892962439471,0.710892962439471
"128","Factor7","aml_etiology",-0.115296728755288,0.300190851589081,-0.384078089471935,0.701629806596435,0.701629806596435
"129","Factor8","aml_etiology",-0.583212467602358,0.204740415303032,-2.84854588547726,0.00520465480446444,0.00520465480446444
"130","Factor9","aml_etiology",0.748882854628976,0.263117495934215,2.84619178200226,0.00524069551054804,0.00524069551054804
"131","Factor10","aml_etiology",0.0188696238049588,0.232479067657049,0.0811669798710441,0.93545025138427,0.93545025138427
"132","Factor11","aml_etiology",0.192420407039318,0.241449001188428,0.796940165799866,0.427128062574678,0.427128062574678
"133","Factor1","who_perfstatus",0.469976465900861,0.306096462944364,1.53538679075257,0.127484119767075,0.127484119767075
"134","Factor2","who_perfstatus",-0.619929510815138,0.270262465070003,-2.2938054333759,0.0236501943296047,0.0236501943296047
"135","Factor3","who_perfstatus",0.141113544497304,0.259072459244762,0.54468755539926,0.587041758348406,0.587041758348406
"136","Factor4","who_perfstatus",0.0610343954088366,0.192770144959335,0.316617469067691,0.752118041344223,0.752118041344223
"137","Factor5","who_perfstatus",0.281785511140278,0.227237738625516,1.24004715433582,0.217526805709906,0.217526805709906
"138","Factor6","who_perfstatus",0.338807506532299,0.29054843126054,1.16609649228663,0.246030717919991,0.246030717919991
"139","Factor7","who_perfstatus",0.167285262323192,0.232757344599541,0.71871099324924,0.473802544196597,0.473802544196597
"140","Factor8","who_perfstatus",-0.287291808920952,0.16361483247156,-1.75590320621384,0.0818144307429976,0.0818144307429976
"141","Factor9","who_perfstatus",0.111877657338984,0.20956161928033,0.533865207394324,0.59448345021004,0.59448345021004
"142","Factor10","who_perfstatus",0.0818760060866001,0.181824373412721,0.450302698971775,0.653354941077998,0.653354941077998
"143","Factor11","who_perfstatus",-0.142801180531325,0.185282904042534,-0.770719680098188,0.442481574753497,0.442481574753497
"144","Factor1","cytogenetically_normal",0.962368330284764,0.23790106700095,4.04524596050224,9.45315602823343e-05,9.45315602823343e-05
"145","Factor2","cytogenetically_normal",-0.0481645456165464,0.238189553885676,-0.202210990494,0.840105995066328,0.840105995066328
"146","Factor3","cytogenetically_normal",-0.172674292802252,0.21482120684525,-0.803804686409015,0.42315391275364,0.42315391275364
"147","Factor4","cytogenetically_normal",0.0640025733828616,0.163894972302634,0.390509681191928,0.696875915320935,0.696875915320935
"148","Factor5","cytogenetically_normal",0.103808907359327,0.195125420920539,0.532011189877722,0.59573571188121,0.59573571188121
"149","Factor6","cytogenetically_normal",-0.205134467331596,0.238987291790043,-0.858348851083731,0.392469985525779,0.392469985525779
"150","Factor7","cytogenetically_normal",0.440307369195572,0.187965607480816,2.34248900688128,0.0208599792760181,0.0208599792760181
"151","Factor8","cytogenetically_normal",-0.090477376170309,0.135898831810996,-0.665770080320795,0.506879821608459,0.506879821608459
"152","Factor9","cytogenetically_normal",-0.364029740396137,0.171053275707319,-2.12816585295339,0.0354397496537057,0.0354397496537057
"153","Factor10","cytogenetically_normal",0.160487664795572,0.152574122998344,1.05186686734102,0.295046906080509,0.295046906080509
"154","Factor11","cytogenetically_normal",-0.0776055107603777,0.155488671800769,-0.499107168783431,0.618649122164462,0.618649122164462
"155","Factor1","karyotype_class",-0.400292797903486,0.525184468644948,-0.762194660737587,0.447517932772271,0.447517932772271
"156","Factor2","karyotype_class",-0.286183049912564,0.519117297449118,-0.551287832863274,0.582515289474021,0.582515289474021
"157","Factor3","karyotype_class",-0.657606989970965,0.454854413973269,-1.44575268430749,0.150990144756888,0.150990144756888
"158","Factor4","karyotype_class",-0.686847719919469,0.357270423009655,-1.92248693338073,0.0570397558176906,0.0570397558176906
"159","Factor5","karyotype_class",-0.154818978657385,0.431898670829091,-0.358461345482236,0.720661042270413,0.720661042270413
"160","Factor6","karyotype_class",-0.015414088405672,0.528559968914587,-0.0291624211294799,0.976786043992363,0.976786043992363
"161","Factor7","karyotype_class",-0.119389901252396,0.415997937366049,-0.28699637793478,0.774636082124276,0.774636082124276
"162","Factor8","karyotype_class",-0.842862684423719,0.279984278792933,-3.01039289797793,0.0032130559713701,0.0032130559713701
"163","Factor9","karyotype_class",0.414019881559291,0.371711980547422,1.11381904061731,0.26769970641207,0.26769970641207
"164","Factor10","karyotype_class",-0.189804532646684,0.332957109345672,-0.570057005299236,0.569760789871083,0.569760789871083
"165","Factor11","karyotype_class",0.0823793607526706,0.342737208395231,0.240357214608791,0.810485038943018,0.810485038943018
"166","Factor1","cytogenetic_risk",1.2183427620278,0.409390714345691,2.97599021994188,0.00356664704999622,0.00356664704999622
"167","Factor2","cytogenetic_risk",-0.0203795397885542,0.403008432777443,-0.0505685194925154,0.959757845174981,0.959757845174981
"168","Factor3","cytogenetic_risk",-0.600389561445255,0.352399116632674,-1.70372039289496,0.0911578201531545,0.0911578201531545
"169","Factor4","cytogenetic_risk",-0.241039841641867,0.27091998474751,-0.889708604798976,0.375496044730382,0.375496044730382
"170","Factor5","cytogenetic_risk",-0.554730720713848,0.323159366174918,-1.71658561928726,0.0887708558905058,0.0887708558905058
"171","Factor6","cytogenetic_risk",-0.23616507451457,0.404449902824284,-0.583916754251698,0.560429932590154,0.560429932590154
"172","Factor7","cytogenetic_risk",0.67047855275771,0.313889351753505,2.13603471736827,0.034815729006964,0.034815729006964
"173","Factor8","cytogenetic_risk",-1.30031220798731,0.186058108746908,-6.98874247806156,1.98832254694952e-10,1.98832254694952e-10
"174","Factor9","cytogenetic_risk",-0.558009382563334,0.28803289349491,-1.93731131119299,0.0551812787642878,0.0551812787642878
"175","Factor10","cytogenetic_risk",0.245345942050392,0.258422115916238,0.949399942727486,0.344425593182688,0.344425593182688
"176","Factor11","cytogenetic_risk",-0.224644244047612,0.262212731793371,-0.856725157894454,0.393394129853804,0.393394129853804
"177","Factor1","genetic_risk",0.634851782228792,0.318127318114089,1.9955902749638,0.0483632237873794,0.0483632237873794
"178","Factor2","genetic_risk",-0.26267066965628,0.305045767490149,-0.861086098054984,0.390998114949553,0.390998114949553
"179","Factor3","genetic_risk",-0.607186810864494,0.26611390808197,-2.28168010924654,0.0243645282041551,0.0243645282041551
"180","Factor4","genetic_risk",0.260811562691421,0.205073576633011,1.27179506484229,0.206034333370079,0.206034333370079
"181","Factor5","genetic_risk",0.098470647764581,0.249345984930685,0.394915714371557,0.693643013712092,0.693643013712092
"182","Factor6","genetic_risk",-0.224381901984564,0.306881473451449,-0.731167963516908,0.466176772200572,0.466176772200572
"183","Factor7","genetic_risk",0.284675939038923,0.2416033104766,1.17827830453712,0.241139360638837,0.241139360638837
"184","Factor8","genetic_risk",-0.876595944414166,0.14800611105174,-5.92270101676901,3.42165190089064e-08,3.42165190089064e-08
"185","Factor9","genetic_risk",0.289755596948027,0.219771791064407,1.31843852909726,0.189999645926956,0.189999645926956
"186","Factor10","genetic_risk",0.0537808689257512,0.196988164689804,0.273015736810583,0.785335076581043,0.785335076581043
"187","Factor11","genetic_risk",-0.224135016211491,0.198552018623506,-1.12884783426199,0.261331937917211,0.261331937917211
"188","Factor1","ELN2017",0.712566562500032,0.278733852438673,2.55644069159777,0.0118780124541832,0.0118780124541832
"189","Factor2","ELN2017",-0.347456080360729,0.293356687665969,-1.18441506524085,0.238690939928584,0.238690939928584
"190","Factor3","ELN2017",0.368223290049391,0.264569312442149,1.39178382651581,0.166673937562863,0.166673937562863
"191","Factor4","ELN2017",0.154874739975923,0.198366822135538,0.780749211529443,0.436554196339048,0.436554196339048
"192","Factor5","ELN2017",0.239472173579399,0.239401742249622,1.00029419723146,0.319268283788616,0.319268283788616
"193","Factor6","ELN2017",-0.114920728458307,0.293903067064163,-0.391015750894557,0.69650907201137,0.69650907201137
"194","Factor7","ELN2017",-0.0115730363475272,0.238102610837096,-0.0486052475730525,0.961318201817581,0.961318201817581
"195","Factor8","ELN2017",1.12161582455345,0.12755108791565,8.79346341048212,1.66424650676833e-14,1.66424650676833e-14
"196","Factor9","ELN2017",-0.708414629879131,0.195953848351567,-3.6152116217087,0.000446760101224297,0.000446760101224297
"197","Factor10","ELN2017",-0.213409937538654,0.188707052903134,-1.13090599559202,0.260447622880811,0.260447622880811
"198","Factor11","ELN2017",0.154426280779968,0.190229318181292,0.811790118665079,0.418589197227456,0.418589197227456
"199","Factor1","complete_remission",-0.0809069735099682,0.262654366040536,-0.308035898011616,0.758607449730244,0.758607449730244
"200","Factor2","complete_remission",0.430197411510767,0.243065286341373,1.7698842067747,0.0793738387123055,0.0793738387123055
"201","Factor3","complete_remission",0.276268481666815,0.221255435728536,1.24864042665047,0.214310750145046,0.214310750145046
"202","Factor4","complete_remission",0.00457205314127699,0.169574039609329,0.0269619875295196,0.978536382123072,0.978536382123072
"203","Factor5","complete_remission",-0.130707703643018,0.201635806635938,-0.648236569802387,0.518113058992661,0.518113058992661
"204","Factor6","complete_remission",-0.14835057758307,0.247507280673254,-0.599378641224357,0.550089298875365,0.550089298875365
"205","Factor7","complete_remission",-0.019312215747051,0.198887240173348,-0.0971013310367158,0.922813494988444,0.922813494988444
"206","Factor8","complete_remission",0.546657371342959,0.131316463738865,4.16290049075673,6.06381714006621e-05,6.06381714006621e-05
"207","Factor9","complete_remission",-0.437563005732114,0.175647192767991,-2.49114716174305,0.0141477114027683,0.0141477114027683
"208","Factor10","complete_remission",0.106948819152822,0.158196976493425,0.676048439884484,0.500355537185108,0.500355537185108
"209","Factor11","complete_remission",0.0542905876417293,0.160864892962556,0.337491833313602,0.736356099910918,0.736356099910918
"210","Factor1","allo_sct",-0.0737957695162859,0.291731053085749,-0.252958225515317,0.800748225421405,0.800748225421405
"211","Factor2","allo_sct",0.133694098854452,0.273276136907574,0.489227125234388,0.625604698047927,0.625604698047927
"212","Factor3","allo_sct",0.192106113447971,0.246718279785033,0.778645642371346,0.437773952934009,0.437773952934009
"213","Factor4","allo_sct",-0.019199065037483,0.188313521425711,-0.101952663261395,0.918970274897889,0.918970274897889
"214","Factor5","allo_sct",-0.090150871979581,0.224176749903639,-0.402141934961283,0.688319597470483,0.688319597470483
"215","Factor6","allo_sct",-0.348256873790963,0.273390325505257,-1.2738449070842,0.205264783820062,0.205264783820062
"216","Factor7","allo_sct",0.174065771548849,0.220292230956639,0.790158467200376,0.431047568943392,0.431047568943392
"217","Factor8","allo_sct",0.328110912509407,0.153351890313779,2.13959483536882,0.0344829877294703,0.0344829877294703
"218","Factor9","allo_sct",-0.181343461992731,0.199506588480425,-0.90895976606068,0.365256022342843,0.365256022342843
"219","Factor10","allo_sct",0.39427033493258,0.172183862540929,2.28982164248325,0.0238396315496414,0.0238396315496414
"220","Factor11","allo_sct",0.101238688959394,0.178489726776836,0.567196167463307,0.571676913675987,0.571676913675987
"221","Factor1","status",-0.259007667744137,0.279527136942077,-0.926592210608188,0.356062123512893,0.356062123512893
"222","Factor2","status",-0.328795182733958,0.261232222833198,-1.25863179958431,0.210690572566895,0.210690572566895
"223","Factor3","status",-0.1727899711777,0.237282539525046,-0.728203480641953,0.467956481584802,0.467956481584802
"224","Factor4","status",-0.0749730990784776,0.180926682343533,-0.414383871451989,0.67935827016803,0.67935827016803
"225","Factor5","status",0.0479573657635432,0.215637048989459,0.222398544166163,0.82439474675632,0.82439474675632
"226","Factor6","status",-0.134618827729033,0.264385579148635,-0.509176136469047,0.611595975580316,0.611595975580316
"227","Factor7","status",0.148641676377034,0.211918394936645,0.701409976332972,0.484451984014772,0.484451984014772
"228","Factor8","status",-0.594341216775444,0.139824605876783,-4.25061964629596,4.33160364552036e-05,4.33160364552036e-05
"229","Factor9","status",0.253610717861221,0.19105015729655,1.32745621071415,0.186964412544813,0.186964412544813
"230","Factor10","status",-0.00880065230856202,0.169242758594956,-0.05200017053388,0.958617998876807,0.958617998876807
